Year,Week,cnt_ArrDelay,cnt_DepDelay,cnt_AllFlights,% ArrDelay>5,% ArrDelay>10,% ArrDelay>20,% ArrDelay>30,% ArrDelay>45,% ArrDelay>60,% ArrDelay>90,% ArrDelay>120,% DepDelay>5,% DepDelay>10,% DepDelay>20,% DepDelay>30,% DepDelay>45,% DepDelay>60,% DepDelay>90,% DepDelay>120
1988.0,1,88311,89005,97396,61.6933337863,49.8963888983,33.7862780401,24.2948217096,15.8836385048,11.0869540601,5.75692722311,3.25893716525,49.7803494186,39.9101174091,27.0569069153,19.5539576428,12.979046121,9.16690073591,4.7941126903,2.64816583338
1988.0,2,97885,98220,99724,46.5076365122,32.2919752771,16.4100730449,9.69198549318,5.19487153292,2.98104919038,1.03182305767,0.424988506921,29.7312156384,20.2677662391,10.9020566076,7.01282834453,3.99816737935,2.31826511912,0.867440439829,0.397067806964
1988.0,3,94676,95519,99524,51.3033926233,38.8250454181,23.6131648992,15.9628628163,9.95077950061,6.65216105454,3.35565507626,1.75546072922,35.7865974309,27.0501156838,17.2845193103,12.1420869146,7.86649776484,5.41148881374,2.82142819753,1.50755347104
1988.0,4,98249,98553,100114,40.7851479404,27.4832313815,13.5054809718,7.87387148979,4.01327239972,2.27076102556,0.889576484239,0.45903775102,25.2950189238,17.0872525443,9.13011273122,5.74614674338,3.15160370562,1.82845778414,0.754923746613,0.422107901332
1988.0,5,95814,96192,98363,53.4107750433,40.0682572484,23.3734109838,14.7014006304,8.293151314,5.05249754733,2.22723192853,0.969586907968,37.1995592149,27.3983283433,16.2227628077,10.6329008649,6.34772122422,4.00449101796,1.82343646041,0.816076180971
1988.0,6,95115,95487,98705,50.4673290228,37.4578142249,22.1700047311,14.8798822478,9.40019975819,6.4563948904,3.46633023182,1.89139462756,37.3265470692,28.016379193,17.4788191063,12.1451087583,7.92568621907,5.54002115471,2.93861991685,1.60650140857
1988.0,7,98626,98915,99726,47.0555431631,33.4374302922,17.42238355,10.2072475818,5.28968020603,3.05193356721,1.23091274106,0.534341857117,31.6857908305,21.8955669009,11.7798109488,7.0697063135,3.91649395946,2.46474245564,1.0332103321,0.496385785776
1988.0,8,99795,99993,100918,38.2033167994,24.1374818378,10.0756550929,5.13352372363,2.53319304574,1.57823538253,0.710456435693,0.372764166541,23.4796435751,14.6160231216,6.6934685428,3.88427189903,2.26315842109,1.46710269719,0.689048233376,0.374026181833
1988.0,9,99064,99301,100437,42.6249697165,29.0771622386,14.2836953888,8.23205200678,4.32447710571,2.64879269967,1.08818541549,0.490591940564,28.2575200653,19.2596247772,10.187208588,6.29500206443,3.58304548796,2.25375373863,0.956687243834,0.479350661121
1988.0,10,99095,99344,100141,45.3029920783,31.0873404309,14.8514052172,7.89343559211,3.92249861244,2.30183157576,0.944548160856,0.474292345729,29.2206877114,19.4002657433,9.52146078273,5.55242390079,3.11745047512,2.04139152843,0.902923176035,0.476123369303
1988.0,11,99680,99851,100224,42.2602327448,27.838081862,12.3023675762,6.17174959872,2.67656500803,1.43960674157,0.609951845907,0.27588282504,27.8585091787,17.7314198155,7.99190794283,4.33545983515,2.16622767924,1.27790407707,0.571852059569,0.276411853662
1988.0,12,99336,99635,100167,42.9250221471,29.1435129258,13.9184182975,7.85717161955,4.16565998228,2.56503181123,1.09023918821,0.487235242007,28.9888091534,19.1197872234,9.6361720279,5.86942339539,3.41345912581,2.19802278316,0.937421588799,0.465699804286
1988.0,13,99567,99841,100791,43.4290477769,30.1103779365,16.1218074262,10.2453624193,6.13054526098,4.04953448432,2.0920586138,1.15600550383,30.1269017738,21.1346040204,12.2184272994,8.20504602318,5.05103113951,3.45849901343,1.87197644254,1.09774541521
1988.0,14,100181,100426,100883,38.5522204809,25.6316067917,12.5123526417,7.39860851858,4.25030694443,2.8588255258,1.4663459139,0.665794911211,25.9175910621,16.9756835879,8.784577699,5.54438093721,3.49909386016,2.47346304742,1.26959154004,0.566586342182
1988.0,15,99516,99715,100173,36.8875356727,23.970014872,10.9489931267,6.24824148881,3.52707102375,2.22979219422,0.890309096025,0.404960006431,24.2571328286,15.8030386602,8.02587374016,5.04838790553,3.18106603821,2.08895351752,0.833375119089,0.394123251266
1988.0,16,97751,98018,98687,41.2517519002,27.8483084572,13.501652157,7.83316794713,4.32732145963,2.80815541529,1.38412906262,0.805106853127,26.9093431819,17.9232385888,9.35032340999,5.93156359036,3.55546940358,2.4260850048,1.28343773593,0.762104919505
1988.0,17,98800,99026,99439,34.5870445344,21.7206477733,9.14777327935,4.82591093117,2.5,1.56983805668,0.691295546559,0.364372469636,21.6599680892,13.4984751479,6.37206390241,3.72629410458,2.08632076424,1.36731767415,0.660432613657,0.362531052451
1988.0,18,98301,98555,99106,37.5794752851,24.4412569557,11.2908312225,6.43838821579,3.61339152196,2.25430056663,1.00507624541,0.540177617725,22.7213231191,14.7744914007,7.52676170666,4.7293389478,2.76292425549,1.77870224748,0.8046268581,0.443407234539
1988.0,19,98790,98995,99562,34.9539427068,22.3342443567,10.5739447312,6.50167020954,3.93460876607,2.68346998684,1.16206093734,0.518271080069,23.2284458811,14.7987272084,7.66200313147,4.98813071367,3.24460831355,2.21930400525,1.0071215718,0.463659780797
1988.0,20,98121,98416,99078,43.8978404215,31.912638477,19.247663599,13.3386329124,8.64748626696,5.69093262401,2.49080217283,1.11087330949,32.0334092018,23.5673061291,14.8278735165,10.6120955942,6.84543163713,4.48097870265,2.04235083726,0.889083075923
