Year,Month,cnt_ArrDelay,cnt_DepDelay,cnt_AllFlights,% ArrDelay>5,% ArrDelay>10,% ArrDelay>20,% ArrDelay>30,% ArrDelay>45,% ArrDelay>60,% ArrDelay>90,% ArrDelay>120,% DepDelay>5,% DepDelay>10,% DepDelay>20,% DepDelay>30,% DepDelay>45,% DepDelay>60,% DepDelay>90,% DepDelay>120
1988.0,1.0,418890,421195,436950,49.8758623982,36.9240134642,21.6252476784,14.1941798563,8.46881042756,5.48616581919,2.58635918738,1.37004941631,35.5058820736,26.2928097437,16.0830494189,10.9668918197,6.78094469308,4.47607402747,2.17832595354,1.16596825698
1988.0,2.0,403994,405256,412579,46.6479700194,33.1220265648,17.7581845275,10.8763991544,6.15825977614,3.88619632965,1.83220542879,0.90273617925,31.7905225339,22.4290325128,12.6712497779,8.17088457666,4.9452691632,3.24905738595,1.55852103362,0.790858124247
1988.0,3.0,440902,441957,445080,44.0320071127,30.0436378152,14.5184190591,8.10973867209,4.19911907862,2.57177331924,1.16533832915,0.589927013259,29.3614537161,19.6286064029,9.97133205267,6.04877850108,3.46413791387,2.25519677254,1.06005787893,0.567476021423
1988.0,4.0,423847,424911,427325,38.0993613261,25.1175542118,11.9033519171,6.92584824241,3.89291418837,2.51411476311,1.16315557265,0.572140418594,25.0017062397,16.3989635477,8.46389008522,5.31758415292,3.22279253773,2.17245493762,1.04327729807,0.537288985223
1988.0,5.0,432218,433289,435916,37.6666404453,25.1708628516,12.88169396,8.08064448959,4.87578027755,3.19283324619,1.46291917505,0.738284846999,25.5337661468,17.1612941939,9.44311994996,6.28541227679,3.91470819707,2.58857252319,1.2093544955,0.604908040592
1988.0,6.0,429162,430096,431299,36.4734063128,23.5808389373,10.4787935558,5.62421649633,2.83459392957,1.69912527204,0.754260628853,0.390528518368,25.2980729884,15.9299319222,7.40323090659,4.25579405528,2.33552509207,1.44293367062,0.676825638927,0.366197314088
1988.0,7.0,436915,438368,441118,37.9481134774,25.5990295595,13.0352585743,7.85576141812,4.50362198597,2.93741345571,1.49525651443,0.847304395592,27.3482553471,18.3955033214,9.68775093072,6.06157383751,3.6378111541,2.46071793562,1.27267501277,0.770357325352
1988.0,8.0,443032,444291,446769,37.5559778978,24.653523899,11.5917134654,6.68687589158,3.60583434154,2.20638689756,1.0421369111,0.577836363965,26.6903898571,17.4279920142,8.65153694313,5.20694769869,2.95414491853,1.89875554535,0.92191829229,0.518579039413
1988.0,9.0,421229,422037,424075,34.4083621973,21.6502187646,9.45518945752,5.00867699043,2.50338889298,1.47307046761,0.629111480928,0.302923113081,20.4150347007,12.7112077851,5.9715143459,3.53926314517,1.97233891815,1.2472840059,0.572224710156,0.27959633871
1988.0,10.0,438541,439364,441670,38.2785189982,24.7582324116,11.0621355814,5.92966222086,2.99037034166,1.7879742145,0.697996310493,0.355496977478,24.2134084722,15.6435210896,7.74050673246,4.58344334083,2.54572518458,1.56976902978,0.653672126073,0.345044200253
1988.0,11.0,416293,417344,420861,43.7499549596,30.5549216537,15.8943340388,9.50124071267,5.27513073725,3.33034665488,1.55011013877,0.803040166421,29.3170621837,20.3762363901,11.1636923018,7.13032893728,4.20923746358,2.69298228799,1.25651740531,0.643354163472
1988.0,12.0,432474,433825,438454,45.0184288535,32.0627367194,17.0158206042,10.102803868,5.53536166336,3.45408047651,1.57258008574,0.80744738412,31.5857776753,22.456059471,12.4349680171,7.79461764536,4.50204575578,2.8924105342,1.34777848211,0.704662018095
1989.0,1.0,431260,432982,440022,42.8194128832,30.3503686871,16.4151555906,10.1381996939,5.76914158512,3.63006075221,1.61178871215,0.797198905533,29.3123039757,20.9676152819,12.007196604,7.81164113058,4.73506981814,3.03430627601,1.345552471,0.693562318988
1989.0,2.0,385612,387070,395176,47.780930054,35.1086065786,19.7939898136,12.1606692738,6.48812796282,3.7615530637,1.47791043847,0.700185678869,34.6885576252,25.2184359418,14.4395070659,8.99036350014,4.95879298318,2.98912341437,1.21450900354,0.596274575658
1989.0,3.0,410984,412323,435181,48.6481225546,35.6704883888,20.1754812839,12.6990345123,7.39736826738,4.75760613552,2.20738520234,1.11561520643,36.9862947253,26.6730209084,15.5557657468,10.1903119642,6.18713969388,4.05070781887,1.85437145151,0.970355764777
1989.0,4.0,402822,403518,405604,37.6178560257,24.5448361807,11.0686605995,5.87008653946,2.98295525071,1.82040702841,0.858691928445,0.477878566712,25.3051908465,16.1311267403,7.70275427614,4.48604523218,2.52702481674,1.62322374714,0.785590729534,0.443102909907
1989.0,5.0,412510,413637,416160,41.7538968752,28.6574870912,14.5026787229,8.49724855155,4.68109864003,2.94514072386,1.35730042908,0.712225158178,27.7056936396,18.4947187993,9.75202895292,6.1430674722,3.63628012001,2.32546894983,1.09250381373,0.592790296806
1989.0,6.0,401130,402571,406293,49.4702465535,36.3483160073,20.8284097425,13.5110811956,8.28384812904,5.62560765837,2.7599531324,1.49602373295,36.8320122413,26.4027960285,15.5406127118,10.5089537001,6.67211498096,4.56267341661,2.2269363665,1.21966063129
1989.0,7.0,412976,414213,417166,45.0139959707,31.5289508349,16.6038704428,10.0683816977,5.82818372012,3.80942233931,1.85216574329,0.977780791136,32.0533155647,21.9541636791,11.978378274,7.6728639613,4.68020076627,3.154657145,1.54123603074,0.844493050677
1989.0,8.0,422505,423393,426085,48.3828593744,34.5565141241,18.3846345014,10.9842487071,6.13270848866,3.86764653673,1.724713317,0.80330410291,34.9755428172,24.4548209347,13.323555184,8.45219453321,5.01189202467,3.24592045688,1.45656635797,0.681872397512
